Text Description,Participant ID,Playlist ID,Video ID,Segment Name,CMA,Valence,Arousal
"Yeah, so there was a criminal who was... yeah, it was kind of exciting because all around, all 360 degrees, something was going on, something was happening here, here, and I was like, I'm looking here, then something happened here, I was like, ""Oh, okay, okay."" It was like, where is actually things happening, and I was just finding it. But they talked about this criminal being violent, but still, because the video was made that way. it was like, what's gonna happen next? And like when he was just opening his handcuffs, and I was like, ""He just opened his handcuffs!"" And he has handcuffs and something's gonna happen because the policeman was taking him and his handcuffs are open. Okay, so it was kind of exciting. It was kind of like actual. I felt like I was feeling more in this video. The content was like, I was more focused on the content. Like when they changed the camera, I was firstly, I was feeling like I am a CCTV camera, and then it changed to like, I am with the criminal now. Now I am just looking because they were seen. I was looking at the policeman. Then yeah. And then I was just looking at people talking there about something, and then the criminal just ran away from there. I was like, something happened there. Yeah. And this still was like, I was just rotating my head.",2,1,3,Jailbreak,LVHA,3,4
"Yeah, it was... I felt it was a little heartbreaking. More than the first two videos, they were sad, but it was how it was created, like when the person... the narration type thing. And so they have shown different people, different nations, and then what, because like this war thing, I actually read about this a lot during World War Two or One. So I have seen all these pictures, and so I was actually feeling that thing, like people are going there. So it was kind of I feel more connected. It was actually... I was like, I love this video, actually. And it was actually like, at first, they were showing, like, his wife or girlfriend. She was just waiting on the train scene, and that was actually... I felt like really... like they were waiting for them, and they don't know if they'll come back or not. And like the last scene...I felt actually good while scene changing because I was like, now I'm gonna watch something, and then this... It's like kind of movies or something. So, there was like a suspense creation in that time when there was a graphic, and when they were real. So, yeah.",2,1,4,Warknownonation,LVHA,4,2
"This was the video i was actually feeling like my heart was beating like when he just jumped. I was like  ""i'm gone"". Like i was just facing at the view he was facing in the video.",2,1,5,CanyonSwing,HVHA,5,5
"umm actually i didn't found it any interesting as nothing was happening there. so it was just quite. i just wanted to go there . move but i was constantly just standing there…. And the person was clicking pictures and i was just there so at that time i felt like i was on a robotic chair and it’s moving on it’s own. it was changing very slow so the video got boring for me. like i can’t move. the music in this video created some irritation type something. I like going to nature. I love going in nature, but I like to move and feel the thing. But in that video, I wasn't feeling the thing, because the person was going on, and I was like, ""I can't move."" ",2,1,6,Redwoods,HVLA,3,5
This video was the was the least interesting video. yeah the thing i noticed that  in the falling video there was no music so i was feeling everything kind of real but in this video there was music so no. it was like you were watching something but you are not in the situation.,2,1,7,Speedflying,HVHA,2,4
"I loved this video. And like, whoever was narrating that, and it was also good. Because everyone was going in the slide. I was like, when will I go in the slide? They are saying, ""You will go in the slide."" When will I go in the slide? But suddenly, they changed, and I was like, okay, now in the slide.  I was just looking at the sunset. I was like, when they said, like, ""You're not going to..."" I was like, I don't want to go. I just want to stay there. they said, ""You have to go back to reality."" I was like, ""Please, keep me there."" ",2,1,8,InstantCaribbean,HVLA,5,5
"So, it was about what they have shown - various scenes of war.  It did not feel real, it felt like a movie.  So, not okay. I felt neutral, not that engagning emotion-wise. No, because I am aware that it happened, so it did not feel like it's happening right now. ",3,3,1,Warknownonation,LVHA,3,1
This one was very boring. I was supposed to watch trees. One person came in between but then he disappered and I was looking for the guy. The guy in start took a picture and then nothing happened.,3,3,2,Redwoods,HVLA,2,5
"This one was nice, but I was not able to grasp the point. And also, um, so there was...I could not see which part to focus on, like I could not see who was talking. It was a narration, like a narrator. So, I could not see. So, here they were talking to a girl, but he was looking somewhere else. Like, they were talking to this girl. It was very confusing as what they want to tell.",3,3,3,HappyLand,LVLA,2,3
"This one was good. This was exciting. Yeah, also the vlog-like feel. Like, this guy talks to the camera, and at the start, it is good. I noticed the poor quality but I liked it anyway. Not really, but it was nice to look at. It was like I was right there, but I don't have a particular liking for adventure sports as such. But I liked this one.",3,3,4,Speedflying,HVHA,5,2
"This one, yeah, this one. I appreciate the video. Okay, but did not engage me that much. Maybe I am just not fond of beaches or things. It looked like an advertisement at first. Not as okay. In the end, there was also a sunset. I did not like it. I think I just don't like looking at it. It looked like an ad. It was not fun.",3,3,5,InstantCaribbean,HVLA,3,5
"This one was the most fun video. I watch like shows based on crime, so it was nice. I was looking forward to more content like I wanted to see. seemed a little fake in between, but okay. But, this was exciting to watch.",3,3,6,Jailbreak,LVHA,4,5
"This was good. If this was real, I think this was real, right? I just don't like where people are telling you stuff, and it's like...There's a lot of information, and it's not in a good way, like... Okay? I was tired, but did not.",3,3,7,TheDisplaced,LVLA,2,4
This was nice.  It was good. I felt a little bit scared. May be a little bit afraid.,3,3,8,CanyonSwing,HVHA,3,5
"So they were trying to kidnap a person. It was kind of... So, I think it was supposed to induce some scary feeling, but they were funny. So, I thought it was funny. they were acting like jokers or whatever, haha. First time I entered the room, I don't know what this said, but it was like, I think I laughed a bit. ",4,4,1,Kidnapped,LVHA,5,3
"Calm, yeah. I felt very calm. I like serene environment in front of me. So, I was just observing either, and I saw crabs and all so it was very calm. I just found out as a person sitting and behind me. So, was that like a guy or a girl? So I did had a doubt about that one person at the back. And at the end their was a sunset and sky was orange. ",4,4,2,MalaekahanaSunrise,HVLA,5,1
"In this video I did not feel funny. I did not also felt scary as it was not able to induce scary emotion. Because I am accustomed to it. I was not sure if their were zombies or mental hospital patients at one point, but then I think it was zombies only. So, that was not clear, okay. It was not scary and it was not, I was alert and I was looking for a jump scare. I was just preparing for something to happen, some jumpscare. I was anticipating. I looking for just genuinely interested in what they are doing, and zombies may be a lot of sci-fi media moveis have shown different types of zombies. So, I was just observing what characteristics these zombies might have.",4,4,3,ZombieApocalypse,LVHA,4,2
"this was supposed to induce a cheerfully vibe, but since I'm not into dogs that much, so I was pretty calm. So, it was interesting and what I found interesting was because I was an object on the ground, my point of view was seeing the humans as giants. Okay, so that was interesting.  I just found it interesting because I've never seen something from that perspective. I mean, music was like doing it's work, it was cheerful, I felt like bobbing my head to it and just observing around, so I do not know what cheerful is, so I cannot say.",4,4,4,PuppiesHost,HVHA,4,1
"So, in this video, I felt like there is a earthquake and everything is moving. It was pretty shaky because of the transition, it felt like so the transitions were very fast. There was some inquistiveness about how people reached to this beach because there was a forest at the back. I do felt the beach-vibe because a couple was there. The new perspective were fun to watch and were interesting.",4,4,5,GreatOceanRoad,HVLA,4,2
"I like this one the most because this one felt like the most real video graphic wise beacuse no one was there. I also liked the music. overall it created a very calm and serene space for me, yeah. So, this was overall everything. I like this video the best. So, this was the most calming. perspective was the normal one, it felt like I was alone in a parking lot, I don't know if there was a beach or not but I felt like if I walk a little more I will find a beach. I was calm throughout the video, and I really like the video, I was just thinking that I was really enjoying being here.",4,4,6,AbandonedBuilding,LVLA,5,4
"So, I don't know if... See, I'm pretty desensitized, I just went to Nepal, my grandmother live there, so I know what happened and stuff like that, so it did not elicit a response from me. It would have been distressing but I was desensitized to it. There were some places shown in the video where I have actually been to. I think yes, there was a scene in which they were distributing the food so I felt like I was standing there, I think that moment I felt like it was real. ",4,4,7,NepalEarthquake,LVLA,2,3
So that was pretty funny but I enjoyed this one and I think see other ones did not fool my senses but in this one I think something happened. I don't I cannot put it into words but I lost my sense of balance I guess.  So it was exciting.,4,4,8,MegaCoaster,HVHA,5,4
"This one? So, this one was a person kidnapped, two people, and they were talking to him, and they were in the car. A policeman came. So, in this video, I mean, everything was very unexpected. I mean, suddenly, people came in the room, and suddenly, we moved to the car. So, things were quite unexpected and surprising. I felt suprised and curious. I didn't feel any emotion, not much. I felt, at some point, that it's a bit scary. The emotion changed. I mean, I was not curious anymore. I was less curious when I moved into the car from room, and I was a bit, I say, a little fearful.",5,4,1,Kidnapped,LVHA,4,2
"Initially I was expecting something will happen but later I found out it gone be like this. Initially there was not much emotions but later I found I was more calm and relaxed and good. Intially I was alert.  Later I was focused and was observing everything in the video, the sunset, the lobster. I felt like my feets are in sand.",5,4,2,MalaekahanaSunrise,HVLA,5,2
"some people were planning for some they were like gun man and they were planning for some may be war or something like a war is going on and this is the police may be. i was i say curious to know what they are doing and what.  When we moved to the war zone. the emotion changed i mean i was not curious anymore i mean i was less curious now and i was bit i say little fearful i say little bit. I just felt that it was too dark, and for some places, I was not able to understand completely, like, I was not able to look clearly what's happening.",5,4,3,ZombieApocalypse,LVHA,3,2
"So, this was... I say a fun kind of video. I mean, a lot of cute puppies, here and there. I like puppies. Yeah, initially, I saw just puppies, but then I looked around and saw people were there, and then I felt more realistic. And I also saw this one also. This was nice.  ",5,4,4,PuppiesHost,HVHA,4,1
very good yeah this was one of my favorite videos i say i like the perspective like i am like some it seems like i am  flying like that.  i felt i mean very good very happy or happy. because of perspective yes like in the beach video i was more relaxed but this was not as relaxing as that one yeah exciting was there because the perspective was changing every second. i felt like i am in some helicopter sort of thing like i am actually there. ,5,4,5,GreatOceanRoad,HVLA,5,1
again like i was expecting some moment something will be there because the previous video was you know completely moving then after two three seconds i was like okay its going to be relaxed one okay then after some time after like three two three seconds more i realized okay it's raining like the sound of rain was coming like initially I noticed that sound. i felt like i am just sitting with the good friend and relaxing at some place.,5,4,6,AbandonedBuilding,LVLA,3,2
Overall emotion was I say a bit conscious also that anything like this could happen at any place so we need to be conscious. I was contemplating that life could be this way also. Earthquakes can happen suddenly anywhere.,5,4,7,NepalEarthquake,LVLA,3,2
" initially i was excited with this whats gonna be next thing then after like like, it was one minute video so after like 30 40 seconds i started feeling bit tired this needs to be stopped i kind of started feeling tired and like a loss of sense of balance. at some point i felt like my head is like rolling kind of at some point. i say in the beginning the excitement level was more and when it moved on it gradually bit reduced.  ",5,4,8,MegaCoaster,HVHA,4,2
"Distressed, because of all the loss. And all that happened in Nepal. I mean, not distress, more like sad. I have seen about earthquake on television but seeing it in TV made it bit more involving. I was stable sad throughout.",6,2,1,NepalEarthquake,LVLA,2,3
"So, this was, Starting I was bit confused I wasn't sure what was happening. Then, it was a bit interesting, after that, I found it a bit funny because like, the other people, zombies, they were not like scary. Okay, but I wasn't scared, but I was interested. And at the start, it was a bit confusing because there was no context as such, but later, like, a zombie movie or something. it wasn't scary, like, the zombies were there, there was no, like, there was no doubt. And also, jump scare was not there.",6,2,2,ZombieApocalypse,LVHA,4,4
"So I didn’t understand again what was happening, okay, so this was just a 360 picture but when I looked back there was a cloth moving, so I thought it was a video. But later on the audio was echoing so I didn’t understand what it was saying. The music was calming, But I didn’t understand. I was inquisitive. Okay, so in the audio, I just assumed that it was inspirational, but I did not understand what he was saying because of the echo. ",6,2,3,AbandonedBuilding,LVLA,3,1
"So, there was, in this one, the person wasn't moving at all, the person through which I am seeing, so it felt a bit unrealistic, like, right now, if someone is... Is pointing a gun, I would move or something, but he's just sitting like a mannequin, so that was a bit unrealistic. so like, even if in this video the person was trying to struggle or something, it could be a bit more, like, okay, I'm struggling to get out, there's a bit more sense of fear that I'm trying to get out and all, but here, he's sitting calmly and so it felt a bit unrealistic, and yeah. It was calm, and the person... I think this was a funny video, I think so. It was at the end, it was a bit funny when they were arguing and all that, yeah.",6,2,4,Kidnapped,LVHA,3,2
"so this was a bit... Yeah, nauseating, okay, like, I didn't... I was not feeling that I was in there, but there was this movement, but my body is standing there, like, this still, so there was a bit of motion sickness. So, there... So, in real life, I would... I have motion sickness, I would be avoiding, yeah, so it wasn't that scary, but there was motion sickness, so because I was sitting still, but this was going all the directions. I mean, excitement wasn't there, excitement wasn't there, no, because like, I was... Because somewhere I knew that I am just sitting in a room because I am in a VR simulation only, but if I didn't know that, like I... So, it would have felt... It did feel like I was there, but it wasn't exciting, how should I put this... Like, so, the roller coasters, when you're actually on a roller coaster, there is this sensation... Gravity.  I did feel a bit nauseated, but I wasn't scared. I have never been on a rollercoaster... I don't exactly know how it feels, but yeah, it was not scary, it was a bit exciting, but there was this knowledge that I'm not really there, so that.",6,2,5,MegaCoaster,HVHA,4,4
This was calmimg. I felt calm throughout the video. It was a perfect video.,6,2,6,MalaekahanaSunrise,HVLA,5,1
"So, this was a bit disorienting because, like, it was a cute video, but the dogs were, like, they were jumping on the camera, so that was a bit... So, the perspective-wise, it was... The dogs were, like, I was like a little person, these dogs were huge. I mean, like, puppies, yeah, but, like, it wasn't scary, it was cute, but they were, like... So, this sense of, like, if I was a human, a puppy would be somewhere over here, but they were, like, here, and they were huge, so the perspective was an issue here. ",6,2,7,PuppiesHost,HVHA,5,3
"This one was also calming, and, like, there I was on this drone.So, the motion here was slow, so it didn't feel very scary, so it was fine. So like where once this bubble transition, yeah, I was confused for a second, but then I understood transition, but no, it didn't impact, any, it was quite smooth, so it didn't impact the experience ",6,2,8,GreatOceanRoad,HVLA,5,1
"In this video I have a feeling of guilt and a feeling of companionship. It was a little sad. Because they left their homes and got separated from their families, that's why I felt sad. In between, I felt like helping also.",8,1,1,TheDisplaced,LVLA,3,3
"In this video I felt good. I felt like there is a goodness in the world. Inspite of beig in such a condition they were happy. I felt positive, in a positive way.  I felt like the people in video were trying to connect with me. I felt the emotions of hope and kindness.",8,1,2,HappyLand,LVLA,4,4
I felt excited and curious in this video. I felt a sense of running and activeness in this video. I felt very positive emotion in this video. I felt like I was their in the scene and also the jail person felt like talking to me and that made me feel excited. ,8,1,3,Jailbreak,LVHA,4,3
"I felt very confused in this video. Yeah, because of the person changing from old to young. That's why, also, I didn't get the story properly. Just I enjoyed the video, but I thought that it would be better to explain the sequences. I felt a little disconnected from the video. The major emotion was a little proud, a little sense of life watching a video.",8,1,4,Warknownonation,LVHA,3,2
"I felt really excited, enthusiastic and active. I was a little scared when he was at the edge of the cliff. I felt like I jumped. I was a little surprised. ",8,1,5,CanyonSwing,HVHA,4,1
"The major emotion was relaex, chilled.  But the video was trasnsitioning very slow I created a sense of sudden action, I'm just scared of getting a boost, jump scare while watching this. I was alert at the start. I was exploring that maybe someone could or can come from behind from me. Later, I felt relaxed like it is a normal video.",8,1,6,Redwoods,HVLA,3,1
"The major emotion was like the active and enthusiastic and a playful emotion. I also want to do that speed flying acivity in the future. I was a little afraid also then that they would not bump into any tree or they would not land anywhere else.  in front of me I can see my partner going in front, and at the back, I can see someone holding me so that I can also go through that. Okay, great. Like, I can see the face of the person who is holding the camera, so it felt like I was held by a person only, not doing it solo. ",8,1,7,Speedflying,HVHA,4,2
"It was good. Yeah, it was chill, relax, and also like when we went to that boat or cruise, you can say, there I got the emotion of excited, because of the slide, yes, because of the slide. And later, I felt relaxed also, then when this screen comes, sunset, yeah, the sunset one, okay. I also felt excited while going up. ",8,1,8,InstantCaribbean,HVLA,4,2
"It was the first video and my first VR experience, so my mind was more focused on the vr technology than the earthquake itself. So the emotion was overall neutral. no strong emotions my mind was more focused on the technology and scenes itself not on the content.  I did realize what happened but I don't feel any I haven't felt any strong emotion.",9,2,1,NepalEarthquake,LVLA,3,3
"so it was not until very late that I realized this is a movie scene, and it's about this zombie apocalypse. Yeah, so I think it was more of neutral because it is a movie. Initially, I thought that, okay, it might be some video from a room or something like that, but I think after four, five seconds. but after like 10 to 20 seconds, I realized this is a movie scene, okay, then with the zombies and everything. I don't think I was scared or alert. The more curiosity was, what's going to happen and what's happening. ",9,2,2,ZombieApocalypse,LVHA,5,2
"This was nice, actually, it was. It was a positive experience. it was calm, the music as well as the building, nothing is happening and very calm music. You can look into the sky and just be calm and quiet there, and the music helped, yeah. ",9,2,3,AbandonedBuilding,LVLA,4,2
"It was more of a comedy than kidnapping. For me, it was more of a funny video.More like, okay, I'm playing a game and people are just acting.",9,2,4,Kidnapped,LVHA,5,2
"whenever it went down, I felt like it's tilting and everything.I felt scared. maybe because I'm scared of heights.
 The moment it went down and everything, so it felt like something is hapening. I was scared and excited. The eotion of the scared remained for the fall in the video and aterwards it was little ok.",9,2,5,MegaCoaster,HVHA,5,4
"It was a calm video. But then I think it went on too long. So I felt it was boring. yes, i love beaches. but I have never been to one.  yeah And so in the video I looked at the sun, I looked at the sea, I heard it, then what, for three minutes? And then I didn't know what to do. I thought it was way too long, okay.",9,2,6,MalaekahanaSunrise,HVLA,3,3
"This video it was a bit irritating because I didn't like dogs. Yeah, I don't like dogs in the place. So I was irritated. It was supposed to be a fun videos with pupies but I didn't felt so.",9,2,7,PuppiesHost,HVHA,3,3
"it was nice, the wave was nice, it's a high view, and as well as this wave sound of waves. I felt like I was not flying because I know that it's not like that, so it looked like ok. I think it was amusing. Calmness, as well as a bit exciting.",9,2,8,GreatOceanRoad,HVLA,5,2
"Well, I was intrigued. I was curious about the emotions of soldiers going to war, and the announcement about the Pearl Harbor attack. That was a little... the sort of change in attitudes of the people in that scenario, that was interesting to me. Overall, I'd say I was positively excited about the emotions and the portrayal of those emotions. But in terms of the actual subject matter, I'd say I had a negative emotion towards war in general. it’s more about that I was slightly annoyed for some of the part as why is it happening and where is it going on, when the CGI video was changing. Yes, it was a little confusing because I didn't quite know which side the actual thing was happening. And the fact that it kept switching from side to side confused me.",10,3,1,Warknownonation,LVHA,4,2
"I do not like this one because no not exactly irritated. I was .. like the intro was very .. I was hopeful that they walk amongst these, right? And it was just one 3D scene, and then it's there for 10-15 seconds, then it moves on slightly further ahead, maybe like 10 feet. no not exactly irritated. I was .. like the intro was very .. I was hopeful that they walk amongst these, right? And it was just one 3D scene, and then it's there for 10-15 seconds, then it moves on slightly further ahead, maybe like 10 feet. Yes, like it felt like, while the others kind of made me feel like I was a part of what was happening, this one made me feel like someone put me in front of a large screen, there's an image of the forest, and just told me to stand there and look around. I was disappointed.",10,3,2,Redwoods,HVLA,4,1
"I'd say this one made me feel a little ashamed and maybe a little guilty for being wasteful in my own life. Aside from that, in terms of the actual way it was shot, I feel this had me the most disconnected compared to other moving videos because first of all I could clearly see the apparatus used to shoot this video, the second thing that they were looking at something which was not present in the environment and they were distracted by that as everyone was looking at the camera which was shooting.",10,3,3,HappyLand,LVLA,3,3
"It was nice. I like the overall emotion that I felt from this. I felt excited, and I definitely felt like I want to do this someday. But again, I feel the camera was turned the other way around so you could see the person's face clearly. But then, if you look at the other way, like your point of view when you're doing this activity, there was like a line going straight down the middle, and you can tell it's two images being stitched together. And at some point, you could see when the angle changes a little, one image is first overlapping and then the second image overlaps. So that might have interfeared with my emotions.",10,3,4,Speedflying,HVHA,5,3
"Okay, so this is by far my favorite clip of all the ones that I was shown. And again, I'm picking... I mean, I'm just really like beaches. So, this is the one that spoke to me the most. : I wasn't thrown off. If there was no narration when they put you through the slide, I'd be really confused, like, hey, what's happening? But because they showed the slide and they said, ""Now you're gonna have a go,"" I knew to look around for where that light was. And it gave me the feeling that I was there. In addition to that, I feel this is the best shot and the exposure of the cameras because they're shooting directly into the sun. Felt that was the best. Like in the discovery clip, there was a shot where you could see the sun directly, and that was completely whited out. So, the trees were like you couldn't see all the detail in the trees near the top and that area was kind of like whited out. This one, they've taken care of the exposure. Yeah, and I feel this felt the most realistic to me. It was well made.",10,3,5,InstantCaribbean,HVLA,5,3
"Yeah, I mean, that's a very technical analysis, but I didn't really feel anything. See, it seemed like regular late-night TV.  I fet very neutral.  I like some of the perspectives they presented in this, but it definitely felt like they were trying to show that I was... that scenario, but it didn't really feel... It felt like a documentary, if I'm being honest. It's just a regular documentry.",10,3,6,Jailbreak,LVHA,2,4
"So, this one, I was confused. I didn't know exactly where to look and all that. But in terms of emotions, this played out pretty hard in that I felt bad. I felt a little ashamed. And in most of my responses, my, like, for ""proud,"" I'd marked three, four, or five. This one I've marked a little lower because I didn't feel... I felt very sad and ashamed that these types of scenarios are being created on an everyday basis. So, yeah, and the fact that this is some child's school and they've come back in the... The opening scene was very strong for me, and that's what set the tone for me throughout the video. I'd say even if it was maybe half the length of it, what it actually is, I feel the same emotion and the same intensity. Yeah, again, it wasn't a very strong emotion that I felt, but I could definitely sense.",10,3,7,TheDisplaced,LVLA,2,4
"So, these graphics, they didn't come through in the VR. The graphics that they added on top of the statistics. So, I spent a lot of the... First, like, it says ""Jullette Clinical."" I think that, and underneath that, they've written: ""Clinical."" I didn't quite... I wasn't able to read that. So,    Until he made the jump aside from 400 feet and 200 feet long rope, all I focused on was trying to read what was written there. But towards the end, I did enjoy it. I felt slightly disappointed because I was  I was expecting the person... Like, swing a little longer, but it just, like, was within the same area. A little disappointed.  They did, like, one minute or so build-up for something this small. I was like, okay. ",10,3,8,CanyonSwing,HVHA,5,3
"It was exciting. They were saying like you cannot go anywhere you should sit, stay in the car.mThe vision was little unclear.",11,4,1,Kidnapped,LVHA,5,3
"This video, felt like, not real.  Like, I was sitting all alone, no one was there. Maybe if someone was going here and there, then we would feel like that it is a beach, the real beach. Like the sunsetting was good. The video was somewhat relaxed and calm you can say.  ",11,4,2,MalaekahanaSunrise,HVLA,5,3
"Like it was not real to me, I have watched many zombie movies or web series, so like it was interesting to me. I was feeling like I was going with them and getting, like rescuing the other persons and then again coming back to the center.  yes interested, but I feel like I was going with them, but not in person. Like third view camera was going on here and there. I felt quite neutral like watching a show or a movie.",11,4,3,ZombieApocalypse,LVHA,5,3
" Emotions, I feel like I was a puppy with them. I felt this one was very unrealistic, the quality was not good. I don't have any pet or something else but I have seen videos. I don't like them too much.",11,4,4,PuppiesHost,HVHA,5,3
"This one, it felt like i was on a drone. Like it was good, like I was able to view, like all areas above, like from above, its a different view like you are on an aeroplane or something else. But like if i go on a swing, the cartwheel, it feels real. The height difference creates afraid- afraid or nervousness, but this didn't create anything. ",11,4,5,GreatOceanRoad,HVLA,5,3
"No emotion, nothing. Like we were sitting in the middle of the road and no one, only the wind is blowing and that, like what you say, the board is moving. Like i was, i am in a middle of a road and somewhere abandoned building and you see no one, no one to talk to, lonely. Yes it was a sad feeling. I felt Yes, lonely. ",11,4,6,AbandonedBuilding,LVLA,5,3
This one like whenever destruction is there we find like sadness or something. seeing the destruction made me feel sad. not guilty as in (not guilty) sad. ,11,4,7,NepalEarthquake,LVLA,5,3
"I felt some what afraid, somewhat afraid in this video. I was afraid in the starting but later it was little better when the slope was not there.",11,4,8,MegaCoaster,HVHA,4,3
"This one… so yeah, see since this was the first video and i was actually getting very familiar to the VR headset in the beginning, this was actually, seemed very, like it, I was actually present there in the moment, and i took i guess 32 seconds to be in there, and once i got, you know, once i got into that comfort, it was really fascinating to see what the video had played. I was not able to concentrate much on the content of the video and the emotion it induced. I felt quite fascinated about seeing a VR video.",12,1,1,TheDisplaced,LVLA,4,4
"emotions were, in the beginning excited, then i moved towards a subtle of, you know, something of like low emotions like you know feeling sympathy and empathy towards the children that was being shown on in the video. ",12,1,2,HappyLand,LVLA,3,4
"This one was actually my favorite. One, because the first thing that I saw in the video began by the prisoner escaping the jail, and then it was- the story was conveyed by how he made it outside the jail. And there were actually, you know, it was like the 360 camera was attached to his helmet or something like that, where i could see that he was actually, you know, removing his handcuffs and everything through which he was arrested and then actually moving through the stairs, going into the lift, that- it was actually looking like when i was in the lift it was so much like i was there, or looking at the cctv video of it in a very immersive way and after that he runs away and, you know, goes outside the prison. It was really amazing. the emotion was, you know, thrilling, or you know it was action and thrilling that wow this could be actually converted into a whole film or action or series, and it would be actually very much interesting.",12,1,3,Jailbreak,LVHA,4,4
"so emotions wise, it was okay, not too good. yeah. I pretty much honestly didn't get the story of this one, but other than that it was okay-ish. I didn't felt much emotion. ",12,1,4,Warknownonation,LVHA,3,3
"Yeah that was one of the best videos that i saw today because, you know, it was actually the 360 camera was mounted onto the helmet of the, you know, the climber and actually once he jumped in, i actually thought that i was in there and tied to a rope. It was really fascinating to see all the stone carvings and everything in 360, for example if i move my head the 360 camera also moves in that way, so i was actually thinking that i was present in the moment. it was adventurous, very much adventurous, that you know actually, I was there. It would be great if there was some sort of haptics technology as well, that i could you know hold the rope as well, but it was really, really amazing. yeah in this one i felt fear, i was actually a bit scared that i actually might fall down once, you know, the rope was left open into the, you know, in the video. ",12,1,5,CanyonSwing,HVHA,3,2
"it was calming basically, you know, kind of like in a meditation space, because of this the whole story i dont think was too much narrated, i dont remember, but it was okayish it was not too good. But it was mainly, for example if i am- if i use a VR headset in the morning, i maybe go to this or maybe expect something better out of the nature’s VR quality. Something like that, because it was not- it was calming and soothing but not more than that.",12,1,6,Redwoods,HVLA,3,2
"one was also very much intuitive and, you know, i felt a bit scared, once the, you know, the glider was reaching at the- once the glider was landing. So before that I was actually enjoying the view of the mountains and everything. I actually thought that I was gliding and, you know, gliding the parachute. For example if i tilt the head as well, i guess the camera was also rotating a bit. The head was actually very much synched and everything was nice in this, i like this. alking about the emotion, when i was landing on the glider i was a bit scared, and it seemed a bit adventurous in the beginning and then it seemed a bit dangerous, and once i was actually there i was actually enjoying that, i felt some sort of butterflies as well that i am actually at the top gliding a parachute.",12,1,7,Speedflying,HVHA,3,3
"This one was, firstly it was like watching a drone shot in the beginning of the sea, so it wasn't too much ,you know, very fun. I didn't have many feelings about it. It was just like watching a normal drone shot that was being taken up from the sea. After that once I went on to the ship it was like, you know, or the rides that were- the water rides, the boy and the girl that were taking up water rides, it was really good. Maybe not too much interesting or intuitive but it was okay. The emotion in this one was adventurous, maybe. And a bit of, not soothing, a bit scary, once the ride becomes- like i was traversing through the water, after that it doesn't interest me too.",12,1,8,InstantCaribbean,HVLA,4,4
"I felt upset, I felt very helpless, I wanted to like- I didn't want to be there but I was there, so I could feel the the loss that they have suffered. Probably they might have, like, they were telling that they have lost all their belongings, but I think they might have also lost their relatives, so i had a mix of emotions that will include helplessness, sadness, not guilty, literally, I never felt guilty because this is not something that we can stop. This is a natural cause.",14,2,1,NepalEarthquake,LVLA,3,3
